Content,EventId,Extracted Template,,Category,Source,Context_Source,Rule_Score,Similarity_Score,Total_Score
attempt_201706092018_0025_m_000000_1166: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> Committed


Both templates can work depending on the context and the specific log format. The first one assumes that the log message is related to a server file system event exceeding a limit",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000124_1151: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> Committed


The first template assumes that the log message is part of a log system where the dynamic parts are the date, the attempt number, the ID, and the domain. The second",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000162_1157: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> : Committed


Both templates can work depending on the context and the naming conventions of the log system. The first one assumes that the log messages are structured with a timestamp,",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000122_1147: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> : Committed


Both templates can work depending on the context and the naming conventions of the log system. The first one assumes that the log messages are structured with a timestamp,",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000042_1127: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> Committed


The first template assumes that the log message is part of a larger system where the dynamic parts are domain, <*>, and exceeded limit. The second",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000041_1126: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> : Committed


Both templates can work depending on the context and the naming conventions of the log system. The first one assumes that the log messages are structured with a timestamp,",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0025_m_000002_1194: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> Committed


The first template assumes that the log message is part of a larger system where the dynamic parts are domain, <*>, and exceeded limit. The second",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000161_1156: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> : Committed


Both templates can work depending on the context and the naming conventions of the log system. The first one assumes that the log messages are structured with a timestamp,",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000080_1135: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> : Committed


Both templates can work depending on the context and the naming conventions of the log system. The first one assumes that the log messages are structured with a timestamp,",,Unseen,Spark,Rule-Based,0.4,0,0.2
attempt_201706092018_0024_m_000004_1026: Committed,E1,"ServerFileSystem domain\_<*> exceeded limit

or


LogEvent <*> Committed


The first template assumes that the log message is part of a larger system where the dynamic parts are domain, <*>, and exceeded limit. The second",,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_42_20 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_42_4 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_2_3 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_2_0 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_2_1 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_2_3 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_42_15 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_2_1 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_11_0 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Found block rdd_2_4 locally,E10,Found block <*> locally,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 1230,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 1204,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 900,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 1297,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 480,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 79,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 959,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 1207,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 1217,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Got assigned task 278,E11,Got assigned task <*>,,Unseen,Spark,Rule-Based,0.4,0,0.2
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:240636+7292,E12,Input split: hdfs://<IP_ADDRESS>/<LOG_DIRECTORY>/<LOG_FILE>.log:<LINE_NUMBER>+<BLOCK_SIZE>,,Seen,Spark,Similarity-Based,0.625,0.810468251,0.717734126
