Log,Extracted Template,Source,Context_Source,Rule_Score,Similarity_Score
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
############################## _getSysMsgList,############################## _getSysMsgList,Mac,Combined,0,0
[0706/011106:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0706/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0706/120312:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0706/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0701/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0706/011106:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0706/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0706/011106:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0706/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0706/120312:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0706/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0701/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0701/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0706/011106:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0706/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
[0705/190016:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[0705/<*>*:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Mac,Rule-Based,0.5,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec 1.(null). Failed codec specific check.,<<< MediaValidator >>>> mv_ValidateRFC4281CodecId: Unrecognized codec <*>. Failed codec specific check.,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec 1,mv_LookupCodecSupport: Unrecognized codec <*>,Mac,Rule-Based,0.4,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7fdcc9d16380>:    NC Disabled: NO,<*>: NC Disabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2d17980>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: NO,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>:   DND Enabled: YES,<*>: DND Enabled: <*>,Mac,Rule-Based,0.45,0
